# MeV 	   cm2
7.75660e-1 8.24315e-32
8.08165e-1 5.11997e-32
8.21403e-1 3.29125e-32
8.47859e-1 1.95047e-32
8.79714e-1 1.16422e-32
9.05114e-1 7.37700e-33
9.31621e-1 4.59332e-33
9.60388e-1 3.02898e-33
9.82418e-1 1.91390e-33
1.02200e+0 1.01296e-33
1.06660e+0 5.78393e-34
1.10686e+0 2.56527e-34
1.16098e+0 1.21802e-34
1.19498e+0 7.46354e-35
1.22998e+0 4.59172e-35
1.26600e+0 2.80988e-35
1.30307e+0 1.72639e-35
1.34123e+0 1.06069e-35
1.38051e+0 6.49087e-36
1.42094e+0 3.99865e-36
1.46255e+0 2.44695e-36
1.50539e+0 1.50742e-36
1.54310e+0 9.47595e-37
1.60061e+0 5.67354e-37
1.70802e+0 3.49416e-37
1.80952e+0 2.08616e-37
1.91706e+0 1.27035e-37
2.06051e+0 7.93841e-38
2.24689e+0 5.00202e-38
2.44131e+0 3.29964e-38
2.66214e+0 2.15652e-38
2.92397e+0 1.36378e-38
3.30559e+0 9.64701e-39
3.84647e+0 8.57806e-39
4.47586e+0 7.93611e-39
5.20822e+0 7.23596e-39
6.06042e+0 6.54969e-39
7.05205e+0 6.10281e-39
8.20595e+0 5.50439e-39
9.54865e+0 5.07953e-39
1.11111e+1 4.62669e-39
1.29291e+1 4.22782e-39
1.50446e+1 3.89951e-39
1.75063e+1 4.01961e-39
2.03708e+1 4.42576e-39
2.37040e+1 4.81875e-39
2.75826e+1 5.38810e-39
3.20958e+1 6.09661e-39
3.73475e+1 6.88078e-39
4.34585e+1 7.75266e-39
5.05694e+1 8.95384e-39
5.88438e+1 1.02782e-38
6.84721e+1 1.17009e-38
7.96759e+1 1.32935e-38
9.27129e+1 1.53480e-38
1.07883e+2 1.75140e-38
1.25536e+2 2.01523e-38
1.46076e+2 2.31762e-38
1.69978e+2 2.70452e-38
1.97791e+2 3.12461e-38
2.30155e+2 3.62897e-38
2.67814e+2 4.20119e-38
3.11635e+2 4.87271e-38
3.62626e+2 5.64104e-38
4.21961e+2 6.55048e-38
4.91005e+2 7.61169e-38
5.71346e+2 8.79997e-38
6.64832e+2 1.02464e-37
7.73616e+2 1.19347e-37
9.00199e+2 1.38940e-37
9.81626e+2 1.49570e-37
