# WIMP Mass (GeV/c^2)	Cross Section (cm^2)	Upper Boundary (cm^2)
7.265186780000000566e-02	2.091862969999999949e-30	2.091862969999999949e-30
7.387234330000000404e-02	1.547455549999999905e-30	1.547455549999999905e-30
7.511332149999999652e-02	1.150853579999999953e-30	1.150853579999999953e-30
7.637514689999999606e-02	7.912456259999999229e-31	7.912456259999999229e-31
7.765816959999999325e-02	5.377032879999999158e-31	5.377032879999999158e-31
7.896274570000000326e-02	3.744281329999999378e-31	3.744281329999999378e-31
8.028923740000000475e-02	2.694311439999999728e-31	2.694311439999999728e-31
8.163801269999999832e-02	2.000873599999999868e-31	2.000873599999999868e-31
8.300944609999999502e-02	1.472746549999999944e-31	1.472746549999999944e-31
8.440391810000000272e-02	1.072564999999999967e-31	1.072564999999999967e-31
8.582181580000000642e-02	7.907946050000000086e-32	7.907946050000000086e-32
8.726353269999999329e-02	5.948022770000000149e-32	5.948022770000000149e-32
8.872946889999999698e-02	4.557334819999999637e-32	2.842138400000000184e-31
9.022003130000000315e-02	3.510506619999999846e-32	3.607889479999999728e-31
9.173563360000000499e-02	2.731023109999999872e-32	4.231613119999999555e-31
9.327669650000000590e-02	2.154140209999999828e-32	4.768573009999999716e-31
9.484364759999999728e-02	1.723903190000000119e-32	5.242251789999999558e-31
9.643692180000000558e-02	1.395961859999999813e-32	5.669564559999999550e-31
9.805696140000000338e-02	1.142405699999999945e-32	6.060094519999999862e-31
9.970421590000000389e-02	9.440395449999999963e-33	6.419761919999999649e-31
1.013791430000000049e-01	7.879050099999999746e-33	6.750228889999999009e-31
1.030822059999999957e-01	6.639554829999999467e-33	7.054118079999999495e-31
1.048138799999999982e-01	5.647494489999999632e-33	7.334541509999999494e-31
1.065746439999999962e-01	4.818032759999999849e-33	7.603279639999999986e-31
1.083649859999999965e-01	3.840364179999999744e-33	7.992710749999998507e-31
1.101854050000000002e-01	3.101510579999999752e-33	8.350451939999998922e-31
1.120364050000000056e-01	2.538560640000000134e-33	8.677393369999999207e-31
1.139184990000000064e-01	2.061227889999999826e-33	9.012416179999999429e-31
1.158322110000000044e-01	1.660099840000000026e-33	9.355996790000000308e-31
1.177780709999999981e-01	1.351989529999999904e-33	9.674362539999998593e-31
1.197566199999999942e-01	1.113044619999999895e-33	9.969107460000000184e-31
1.217684059999999957e-01	9.254708100000000262e-34	1.024193529999999963e-30
1.238139879999999998e-01	7.771316999999999676e-34	1.049348290000000018e-30
1.258939340000000129e-01	6.578931300000000400e-34	1.072819030000000032e-30
1.280088199999999954e-01	5.602032419999999716e-34	1.094880469999999876e-30
1.301592350000000120e-01	4.800842549999999378e-34	1.115557089999999944e-30
1.323457739999999994e-01	4.145225179999999645e-34	1.134668600000000028e-30
1.345690449999999982e-01	3.586731359999999611e-34	1.153136769999999904e-30
1.368296639999999897e-01	3.097810459999999972e-34	1.171589939999999843e-30
1.391282600000000036e-01	2.679932559999999504e-34	1.189478120000000090e-30
1.414654690000000103e-01	2.331884669999999756e-34	1.206215909999999818e-30
1.438419410000000009e-01	2.039195750000000120e-34	1.221700679999999841e-30
1.462583359999999888e-01	1.642353689999999891e-34	1.249976679999999861e-30
1.487153230000000104e-01	1.341008290000000061e-34	1.275603449999999818e-30
1.512135850000000115e-01	1.106218439999999998e-34	1.299237649999999855e-30
1.537538159999999876e-01	9.191788659999999240e-35	1.321357029999999957e-30
1.563367190000000129e-01	7.692764900000000236e-35	1.341997499999999898e-30
1.589630129999999864e-01	6.507442759999999841e-35	1.360606969999999878e-30
1.616334249999999972e-01	5.550237059999999583e-35	1.377724049999999995e-30
1.643486979999999875e-01	4.769023289999999412e-35	1.393294189999999803e-30
1.671095850000000049e-01	4.123949240000000065e-35	1.407613239999999961e-30
1.699168510000000076e-01	3.585714629999999405e-35	1.420774979999999968e-30
1.727712770000000009e-01	3.133049430000000160e-35	1.432951139999999897e-30
1.756736540000000124e-01	2.749715249999999516e-35	1.444196959999999871e-30
1.786247880000000066e-01	2.424673219999999729e-35	1.454485789999999968e-30
1.816254979999999963e-01	2.143310230000000068e-35	1.464215489999999844e-30
1.846766159999999879e-01	1.899125619999999641e-35	1.473155209999999792e-30
1.877789910000000062e-01	1.687924119999999719e-35	1.481533449999999945e-30
1.909334819999999877e-01	1.505536339999999768e-35	1.489141709999999913e-30
1.941409649999999987e-01	1.345271709999999832e-35	1.496158520000000013e-30
1.974023299999999870e-01	1.207516019999999731e-35	1.502353110000000075e-30
2.007184830000000031e-01	1.088723089999999989e-35	1.507548610000000030e-30
2.040903440000000069e-01	9.857269559999999573e-36	1.512094569999999970e-30
2.075188490000000052e-01	8.950103730000000289e-36	1.515863999999999881e-30
2.110049489999999972e-01	8.160091699999999651e-36	1.518905790000000013e-30
2.145496110000000012e-01	7.469516989999998970e-36	1.521198739999999922e-30
2.181538209999999978e-01	6.861682209999999786e-36	1.522854389999999836e-30
2.218185769999999890e-01	6.314687320000000072e-36	1.523938979999999866e-30
2.255448979999999937e-01	5.827431070000000034e-36	1.524509469999999815e-30
2.293338159999999959e-01	5.397062909999999440e-36	1.524359800000000026e-30
2.331863849999999960e-01	5.015998849999999777e-36	1.523602909999999825e-30
2.371036729999999870e-01	4.676225699999999350e-36	1.522236289999999874e-30
2.410867670000000074e-01	4.363201949999999512e-36	1.520564829999999911e-30
2.451367730000000023e-01	4.080830399999999431e-36	1.518397570000000029e-30
2.492548149999999907e-01	3.820989069999999572e-36	1.515938749999999867e-30
2.534420350000000099e-01	3.578957929999999940e-36	1.513305589999999955e-30
2.576995970000000025e-01	3.357708520000000044e-36	1.510160850000000053e-30
2.620286809999999855e-01	3.159953970000000157e-36	1.506516840000000015e-30
2.664304889999999926e-01	2.982860729999999942e-36	1.502314149999999777e-30
2.709062429999999910e-01	2.824026009999999545e-36	1.497655610000000073e-30
2.754571849999999933e-01	2.681374719999999698e-36	1.492471019999999997e-30
2.800845779999999730e-01	2.553091899999999839e-36	1.486744399999999860e-30
2.847897070000000030e-01	2.437593269999999553e-36	1.480509189999999775e-30
2.895738760000000078e-01	2.333487729999999576e-36	1.473842729999999826e-30
2.944384150000000089e-01	2.239624169999999859e-36	1.466856229999999958e-30
2.993846729999999901e-01	2.152873599999999823e-36	1.459384029999999940e-30
3.044140229999999780e-01	2.062497529999999870e-36	1.452313659999999896e-30
3.095278599999999880e-01	1.979413249999999677e-36	1.444853080000000057e-30
3.147276050000000214e-01	1.902912369999999705e-36	1.437099489999999884e-30
3.200146999999999853e-01	1.833781630000000020e-36	1.428916469999999866e-30
3.253906129999999952e-01	1.769491479999999908e-36	1.420556069999999976e-30
3.308568359999999875e-01	1.710559299999999906e-36	1.411848019999999895e-30
3.364148849999999968e-01	1.655083749999999805e-36	1.402875409999999841e-30
3.420663039999999877e-01	1.599161359999999997e-36	1.393972659999999830e-30
3.478126599999999957e-01	1.548495439999999715e-36	1.384760049999999902e-30
3.536555499999999852e-01	1.502074599999999877e-36	1.375263569999999933e-30
3.595965939999999916e-01	1.452507210000000004e-36	1.366030239999999912e-30
3.656374410000000075e-01	1.405132699999999981e-36	1.356674169999999877e-30
3.717797680000000105e-01	1.362352649999999976e-36	1.346966329999999965e-30
3.780252800000000191e-01	1.320114739999999819e-36	1.337241529999999908e-30
3.843757099999999816e-01	1.279006590000000034e-36	1.327439739999999978e-30
3.908328209999999969e-01	1.238298139999999915e-36	1.317590939999999949e-30
3.973984039999999829e-01	1.199062649999999777e-36	1.307653719999999962e-30
4.040742820000000068e-01	1.163627319999999961e-36	1.297445989999999897e-30
4.108623080000000094e-01	1.131656489999999842e-36	1.286975189999999943e-30
4.177643659999999981e-01	1.102845199999999836e-36	1.276136759999999982e-30
4.247823709999999919e-01	1.076930460000000006e-36	1.265091729999999883e-30
4.319182710000000203e-01	1.053590290000000059e-36	1.253896529999999891e-30
4.391740470000000118e-01	1.030515009999999989e-36	1.242533860000000052e-30
4.465517119999999895e-01	1.007784610000000041e-36	1.231272169999999899e-30
4.540533150000000129e-01	9.873764889999998846e-37	1.219677419999999848e-30
4.616809359999999862e-01	9.692094549999999788e-37	1.207997249999999933e-30
4.694366939999999877e-01	9.531144110000000357e-37	1.195997559999999954e-30
4.773227400000000231e-01	9.383054119999998786e-37	1.183902579999999941e-30
4.853412639999999945e-01	9.200554619999999337e-37	1.172221489999999878e-30
4.934944900000000079e-01	9.037362349999999812e-37	1.160268749999999868e-30
5.017846820000000374e-01	8.892415139999998699e-37	1.148156159999999891e-30
5.102141409999999544e-01	8.764463070000000625e-37	1.135913169999999813e-30
5.187852059999999987e-01	8.612206949999999319e-37	1.123972929999999926e-30
5.275002549999999735e-01	8.456367809999999694e-37	1.111974439999999949e-30
5.363617090000000198e-01	8.316725740000000159e-37	1.099865819999999942e-30
5.453720260000000097e-01	8.183623589999998664e-37	1.087743179999999926e-30
5.545337059999999596e-01	8.041543829999998456e-37	1.075764209999999864e-30
5.638492929999999737e-01	7.911948519999998909e-37	1.063582679999999816e-30
5.733213729999999675e-01	7.793603099999999314e-37	1.051341779999999910e-30
5.829525730000000294e-01	7.638383299999999977e-37	1.039545050000000035e-30
5.927455670000000287e-01	7.492525330000000310e-37	1.027688879999999944e-30
6.027030740000000053e-01	7.362358719999999539e-37	1.015641679999999937e-30
6.128278560000000041e-01	7.242043179999998994e-37	1.003560629999999998e-30
6.231227240000000167e-01	7.107675749999999112e-37	9.917050729999999920e-31
6.335905349999999547e-01	6.909891369999999746e-37	9.805043229999998380e-31
6.442341950000000095e-01	6.728709999999999700e-37	9.692326249999999309e-31
6.550566559999999594e-01	6.554785950000000468e-37	9.579379620000000184e-31
6.660609240000000542e-01	6.351198589999999963e-37	9.469991330000000481e-31
6.772500519999999913e-01	6.148851859999999584e-37	9.361320629999999819e-31
6.886271459999999678e-01	5.900235210000000020e-37	9.259475899999999086e-31
7.001953629999999595e-01	5.621264829999999487e-37	9.161446750000000100e-31
7.119579129999999978e-01	5.356558639999999709e-37	9.063767069999999396e-31
7.239180629999999450e-01	5.106229759999998997e-37	8.965546119999999361e-31
7.360791300000000259e-01	4.877843759999999684e-37	8.865535089999998684e-31
7.484444909999999895e-01	4.658980129999999592e-37	8.765920029999999214e-31
7.610175769999999451e-01	4.456497289999999667e-37	8.665015369999998767e-31
7.738018779999999985e-01	4.273011089999999521e-37	8.562564769999999617e-31
7.868009409999999759e-01	4.106278059999999673e-37	8.459086740000000036e-31
8.000183749999999483e-01	3.954828819999999757e-37	8.354359050000000055e-31
8.134578489999999551e-01	3.817446959999999380e-37	8.248328170000000060e-31
8.271230910000000325e-01	3.692743679999999785e-37	8.141167859999998589e-31
8.410178950000000153e-01	3.579307129999999710e-37	8.033224399999998990e-31
8.551461169999999834e-01	3.474504999999999812e-37	7.925144000000000550e-31
8.695116790000000373e-01	3.377968929999999517e-37	7.816358559999999769e-31
8.841185670000000218e-01	3.290027939999999650e-37	7.706952819999999344e-31
8.989708360000000509e-01	3.210284859999999966e-37	7.597316139999998754e-31
9.140726070000000369e-01	3.138240239999999649e-37	7.487305779999999294e-31
9.294280729999999657e-01	3.073281379999999461e-37	7.376587460000000262e-31
9.450414940000000374e-01	3.014694159999999579e-37	7.265943579999999457e-31
9.609172040000000248e-01	2.961797819999999913e-37	7.155310089999998851e-31
9.770596089999999956e-01	2.914388700000000010e-37	7.044634029999999816e-31
9.934731909999999777e-01	2.872090349999999821e-37	6.933976719999999390e-31
1.010162500000000074e+00	2.834562999999999765e-37	6.823465110000000009e-31
1.027132179999999950e+00	2.801534629999999698e-37	6.713273449999999736e-31
1.044386929999999936e+00	2.772750950000000082e-37	6.603621549999999486e-31
1.061931540000000007e+00	2.747869139999999639e-37	6.493725139999999084e-31
1.079770880000000099e+00	2.726733239999999940e-37	6.384527459999999954e-31
1.097909900000000105e+00	2.709112309999999448e-37	6.275997559999999817e-31
