# MeV      Dm-nucleon
1.10075e+0 7.01269e-28
1.18511e+0 2.02526e-28
1.31417e+0 8.34048e-29
1.41489e+0 3.43480e-29
1.59232e+0 1.11653e-29
1.84573e+0 4.59812e-30
2.01674e+0 1.78486e-30
2.37247e+0 8.27348e-31
2.59228e+0 4.31661e-31
3.14095e+0 2.00090e-31
3.91982e+0 9.83999e-32
5.03846e+0 4.29924e-32
6.47636e+0 1.99285e-32
8.08232e+0 1.03975e-32
1.03889e+1 5.42480e-33
1.29650e+1 3.37984e-33
1.71646e+1 1.87084e-33
2.41073e+1 1.03557e-33
3.28727e+1 6.45194e-34
4.68559e+1 4.01979e-34
6.98126e+1 2.36064e-34
1.07135e+2 1.16091e-34
1.43948e+2 7.67356e-35
2.11329e+2 5.07219e-35
3.19553e+2 2.64637e-35
4.97684e+2 1.46484e-35
6.49232e+2 8.10834e-36
8.72315e+2 5.35957e-36

