# MeV      DM-e
1.40492e+0 4.32209e-34
1.47158e+0 2.70227e-34
1.51778e+0 1.53804e-34
1.61456e+0 9.61619e-35
1.74426e+0 5.14101e-35
1.85548e+0 2.83590e-35
1.97379e+0 1.77307e-35
2.09965e+0 1.10856e-35
2.30365e+0 5.92659e-36
2.45054e+0 4.19981e-36
2.64740e+0 2.79550e-36
2.90461e+0 1.91993e-36
3.13794e+0 1.36054e-36
3.77730e+0 8.24418e-37
4.34094e+0 5.48753e-37
4.83686e+0 4.84157e-37
5.55861e+0 3.76881e-37
6.90122e+0 3.05084e-37
8.30736e+0 2.50861e-37
1.04745e+1 2.26590e-37
1.34127e+1 2.30165e-37
1.91372e+1 2.31974e-37
2.77302e+1 2.82114e-37
3.60618e+1 3.22267e-37
5.06638e+1 3.88868e-37
7.22870e+1 5.23577e-37
9.84665e+1 6.72608e-37
1.44902e+2 9.49155e-37
2.09965e+2 1.36054e-36
3.04244e+2 1.89011e-36
4.14429e+2 2.56487e-36
5.55861e+2 3.39973e-36
7.68964e+2 4.64967e-36
9.69566e+2 5.92659e-36
