# Mass [GeV/c^2]	Cross-section [cm^2]
0.01	1.40296577e-30
0.0132378	1.85708852e-30
0.017528	2.45334403e-30
0.0232065	3.23195334e-30
0.030719	4.24150609e-30
0.040624	5.53840195e-30
0.0536134	7.18421828e-30
0.058	7.38437012e-30
0.06	7.60935797e-30
0.063	7.94348499e-30
0.065	8.16402323e-30
0.068	8.49155052e-30
0.07	8.70773814e-30
0.077871	9.23962911e-30
0.100924	1.17532515e-29
0.130792	1.47441103e-29
0.169539	1.81779673e-29
0.219761	2.19412492e-29
0.285006	2.58306423e-29
0.369999	3.02445318e-29
0.481004	3.79015869e-29
0.626245	5.27807883e-29
0.815659	7.93740415e-29
1.06269	1.23527433e-28
1.38488	1.93049875e-28
1.80472	2.98050907e-28
2.35271	4.51367621e-28
3.06968	6.69307791e-28
4.01073	9.72849156e-28
5.24981	1.38938654e-27
6.88443	1.95511657e-27
