# eV       cm2
1.01113e+3 5.44226e-17
1.07392e+3 5.71808e-17
1.14062e+3 6.01676e-17
1.21146e+3 6.33104e-17
1.28669e+3 6.66666e-17
1.36660e+3 7.00971e-17
1.45147e+3 7.37586e-17
1.54161e+3 7.75541e-17
1.63735e+3 8.16653e-17
1.73903e+3 8.58677e-17
1.84703e+3 9.04196e-17
1.96174e+3 9.55648e-17
2.07787e+3 1.10803e-16
2.19486e+3 1.32897e-16
2.31843e+3 1.59397e-16
2.44227e+3 1.89584e-16
2.56568e+3 2.23604e-16
2.70272e+3 2.66239e-16
2.85489e+3 3.19326e-16
3.02389e+3 3.71230e-16
3.21169e+3 3.96136e-16
3.41114e+3 4.15599e-16
3.62299e+3 4.36341e-16
3.84799e+3 4.58117e-16
4.08696e+3 4.56430e-16
4.34077e+3 4.19605e-16
4.61035e+3 3.86036e-16
4.89667e+3 3.55414e-16
5.20077e+3 3.61765e-16
5.52375e+3 3.86891e-16
5.86680e+3 4.16828e-16
6.16326e+3 4.92526e-16
6.40917e+3 5.95688e-16
6.65042e+3 7.18974e-16
6.87680e+3 8.68335e-16
7.22429e+3 1.01121e-15
7.67294e+3 1.13961e-15
8.14946e+3 1.19914e-15
8.65557e+3 1.11713e-15
9.19311e+3 1.13626e-15
9.76403e+3 1.31501e-15
1.03704e+4 1.44207e-15
1.10144e+4 1.52413e-15
1.16985e+4 1.61324e-15
1.22896e+4 1.84298e-15
1.27700e+4 2.19566e-15
1.32691e+4 2.60976e-15
1.37877e+4 3.10916e-15
1.43267e+4 3.67845e-15
1.49275e+4 4.39317e-15
1.55961e+4 5.31103e-15
1.64291e+4 5.93375e-15
1.74494e+4 6.01753e-15
1.85331e+4 5.83820e-15
1.96841e+4 5.41491e-15
2.09065e+4 5.26130e-15
2.20836e+4 5.48506e-15
2.31678e+4 6.76852e-15
2.40404e+4 8.03783e-15
2.47079e+4 9.59374e-15
2.53399e+4 1.13983e-14
2.60990e+4 1.38826e-14
2.73428e+4 1.64385e-14
2.88823e+4 1.92238e-14
3.06759e+4 2.11905e-14
3.25810e+4 2.24294e-14
3.40871e+4 2.17389e-14
3.47129e+4 1.79715e-14
3.57154e+4 1.39162e-14
3.66329e+4 1.33061e-14
3.80856e+4 1.52874e-14
