# eV      epsilon
11.602600 3.037870e-14
11.738400 2.309990e-14
11.979900 1.494690e-14
12.262100 9.209750e-15
12.514400 6.227390e-15
13.072600 3.818380e-15
13.977400 2.684920e-15
15.475900 2.041610e-15
17.335500 1.833320e-15
19.588900 1.915830e-15
21.942800 2.262470e-15
23.736200 2.792070e-15
25.452900 1.982560e-15
26.665900 1.091610e-15
29.268000 1.301790e-15
31.384900 1.646290e-15
34.048800 2.081950e-15
38.251500 2.903490e-15
41.498300 1.745810e-15
51.768700 2.251430e-15
56.326500 1.662470e-15
61.822900 1.353740e-15
67.658500 9.518900e-16
73.829800 5.779780e-16
81.507100 4.226280e-16
95.374500 3.105480e-16
110.954000 3.261160e-16
124.287000 4.438140e-16
134.444000 6.189440e-16
149.291000 9.518900e-16
160.089000 1.257970e-15
174.691000 1.614390e-15
199.129000 1.824380e-15
226.986000 1.897180e-15
251.319000 2.123080e-15
286.477000 1.842310e-15
321.837000 1.771610e-15
357.377000 2.031650e-15
401.488000 2.737970e-15
