# MeV      cm2
5.33003e-1 3.74011e-29
5.55455e-1 1.33157e-29
5.90919e-1 4.74068e-30
6.32985e-1 1.76891e-30
7.11484e-1 6.00893e-31
8.39156e-1 1.85829e-31
1.00344e+0 5.48330e-32
1.17540e+0 1.29458e-32
1.35335e+0 3.60226e-33
1.56899e+0 9.23297e-34
1.94848e+0 2.48025e-34
2.53909e+0 7.67028e-35
3.19690e+0 3.03502e-35
4.16592e+0 1.30373e-35
5.71601e+0 6.52342e-36
7.95148e+0 4.22563e-36
1.13697e+1 3.42097e-36
1.64825e+1 3.38105e-36
2.38945e+1 3.84696e-36
3.62230e+1 4.98021e-36
5.92275e+1 6.83695e-36
8.67517e+1 9.72227e-36
1.38950e+2 1.44897e-35
2.12826e+2 2.21078e-35
3.84475e+2 3.79316e-35
5.88891e+2 5.85577e-35
9.79581e+2 9.36392e-35
