# eV       epsilon
2.50035e+0 8.44827e-12
2.59313e+0 4.83441e-12
2.65045e+0 2.50605e-12
2.69590e+0 1.58305e-12
2.79594e+0 1.04154e-12
2.91028e+0 6.24388e-13
3.02929e+0 4.01361e-13
3.09249e+0 2.88135e-13
3.21114e+0 3.18072e-13
3.25829e+0 2.04459e-13
3.32222e+0 1.31428e-13
3.38741e+0 7.69775e-14
3.49185e+0 7.30527e-14
3.59076e+0 5.82306e-14
3.69248e+0 6.35375e-14
3.82022e+0 6.02980e-14
3.95717e+0 4.83441e-14
4.13403e+0 3.94421e-14
4.38220e+0 3.14394e-14
4.62837e+0 2.55015e-14
4.90026e+0 1.82012e-14
5.12549e+0 1.51110e-14
5.37412e+0 1.40109e-14
5.72447e+0 1.12987e-14
6.15721e+0 8.69749e-15
6.62265e+0 6.10033e-15
7.12328e+0 4.13201e-15
7.47789e+0 3.03615e-15
7.89796e+0 2.25702e-15
8.49500e+0 1.68761e-15
9.03783e+0 1.45929e-15
9.62704e+0 1.19058e-15
1.04052e+1 9.49014e-16
1.11918e+1 7.43382e-16
1.20964e+1 5.62341e-16
1.26986e+1 5.59081e-16
1.32662e+1 4.66866e-16
1.41826e+1 3.53167e-16
1.49793e+1 2.76643e-16
1.59559e+1 2.29674e-16
1.69961e+1 2.24393e-16
1.79291e+1 2.57998e-16
1.88216e+1 3.65705e-16
1.99031e+1 5.55840e-16
2.07422e+1 8.25404e-16
2.15642e+1 1.19752e-15
2.26652e+1 1.89574e-15
2.38224e+1 3.03615e-15
2.48267e+1 4.72327e-15
2.58420e+1 7.30527e-15
2.67359e+1 1.17681e-14
2.78970e+1 2.09270e-14
2.88620e+1 3.63585e-14
2.98604e+1 6.06496e-14
