# MeV      cm2
5.33156e-1 1.13639e-27
5.68167e-1 2.83184e-28
6.27253e-1 4.79717e-29
7.17389e-1 8.12644e-30
8.96251e-1 1.13502e-30
1.07702e+0 1.14188e-31
1.31268e+0 9.84442e-33
1.54982e+0 1.42907e-33
1.88226e+0 2.61515e-34
2.42754e+0 4.10097e-35
3.08684e+0 8.42588e-36
3.81580e+0 2.45024e-36
5.00892e+0 8.00001e-37
6.90854e+0 3.69689e-37
9.73274e+0 2.32640e-37
1.43054e+1 1.91810e-37
2.23280e+1 2.03243e-37
3.22433e+1 2.41795e-37
5.51681e+1 3.35683e-37
7.74466e+1 4.39814e-37
1.20028e+2 6.46987e-37
1.78300e+2 9.15714e-37
2.92405e+2 1.45517e-36
4.53175e+2 2.22486e-36
7.22476e+2 3.46795e-36
9.61878e+2 4.72253e-36
