# MeV      cm2
1.00963e+0 7.45781e-33
1.06548e+0 2.97482e-33
1.14067e+0 1.07609e-33
1.22117e+0 3.89254e-34
1.38960e+0 1.25217e-34
1.56432e+0 4.35578e-35
1.81883e+0 1.45708e-35
2.16078e+0 5.48092e-36
2.56701e+0 2.06170e-36
3.35994e+0 5.67173e-37
4.22754e+0 2.75100e-37
5.37677e+0 1.78918e-37
7.16503e+0 1.32135e-37
8.85487e+0 1.15231e-37
1.15071e+1 1.06562e-37
1.60092e+1 1.13000e-37
2.29213e+1 1.30850e-37
3.20036e+1 1.56029e-37
4.56574e+1 2.07180e-37
7.12510e+1 2.94588e-37
1.14430e+2 4.44179e-37
1.63837e+2 6.19344e-37
2.37967e+2 8.72071e-37
3.45639e+2 1.27690e-36
4.94872e+2 1.83345e-36
6.98440e+2 2.50698e-36
9.71696e+2 3.52997e-36
