# MeV      DM-e
1.77142e+0 4.32209e-34
1.94353e+0 2.61897e-34
2.06746e+0 1.53804e-34
2.19929e+0 9.03249e-35
2.33952e+0 5.14101e-35
2.60680e+0 2.83590e-35
2.73050e+0 1.66544e-35
3.04244e+0 1.00917e-35
3.28684e+0 6.11508e-36
3.66234e+0 3.59121e-36
3.89587e+0 2.31671e-36
4.34094e+0 1.40381e-36
4.76269e+0 1.05908e-36
5.73310e+0 6.41749e-37
6.19364e+0 5.07437e-37
7.11785e+0 3.65263e-37
8.43674e+0 2.93374e-37
1.00000e+1 2.35634e-37
1.20375e+1 1.98358e-37
1.38337e+1 2.01488e-37
1.69117e+1 2.01488e-37
2.00453e+1 1.95277e-37
2.37596e+1 2.21331e-37
2.99578e+1 2.35634e-37
3.83612e+1 2.67072e-37
5.30679e+1 3.24799e-37
7.22870e+1 4.13997e-37
9.40057e+1 5.15444e-37
1.32070e+2 7.04951e-37
1.91372e+2 9.56614e-37
2.77302e+2 1.38201e-36
4.08073e+2 2.02807e-36
6.09867e+2 2.99953e-36
9.25642e+2 4.47121e-36
