# MeV      DM-e
1.31054e+1 8.36334e-36
1.35168e+1 5.39525e-36
1.38337e+1 2.88441e-36
1.42680e+1 1.44846e-36
1.47158e+1 7.74376e-37
1.54141e+1 4.13997e-37
1.61456e+1 2.07896e-37
1.71089e+1 1.11146e-37
1.79901e+1 6.32606e-38
1.94353e+1 3.71511e-38
2.06746e+1 2.25117e-38
2.27710e+1 1.32205e-38
2.52746e+1 7.06792e-39
2.86006e+1 4.28280e-39
3.23644e+1 3.01130e-39
3.80660e+1 1.95787e-39
4.47720e+1 1.39833e-39
5.22542e+1 1.08001e-39
6.29010e+1 8.88059e-40
7.68964e+1 7.59370e-40
9.54697e+1 7.18881e-40
1.24154e+2 7.30224e-40
1.63970e+2 7.71351e-40
2.13235e+2 8.53974e-40
2.81621e+2 1.00654e-39
3.89587e+2 1.23372e-39
5.22542e+2 1.59735e-39
7.00870e+2 2.02014e-39
9.25642e+2 2.57493e-39
