# eV       epsilon
2.70666e+0 9.85031e-12
2.73886e+0 8.05589e-12
2.79448e+0 6.72219e-12
2.84787e+0 5.07271e-12
2.91949e+0 3.60387e-12
2.99645e+0 2.77480e-12
3.09735e+0 1.96145e-12
3.17149e+0 2.13646e-12
3.20164e+0 1.59609e-12
3.22826e+0 1.10023e-12
3.27828e+0 7.77732e-13
3.34882e+0 5.36115e-13
3.38065e+0 4.10712e-13
3.39669e+0 3.64028e-13
3.41683e+0 3.35893e-13
3.44932e+0 3.09932e-13
3.49449e+0 3.17822e-13
3.53606e+0 3.13064e-13
3.56546e+0 2.97714e-13
3.58237e+0 2.81697e-13
3.60361e+0 2.74704e-13
3.63787e+0 2.74704e-13
3.66812e+0 2.84543e-13
3.69861e+0 2.94735e-13
3.72495e+0 2.85978e-13
3.75592e+0 2.80284e-13
3.79611e+0 2.80284e-13
3.83220e+0 2.71955e-13
3.87780e+0 2.56034e-13
3.91930e+0 2.33881e-13
3.97532e+0 2.09392e-13
4.06566e+0 1.80985e-13
4.14824e+0 1.62034e-13
4.20256e+0 1.44341e-13
4.25256e+0 1.29227e-13
4.35435e+0 1.31852e-13
4.44279e+0 1.37955e-13
4.54914e+0 1.29878e-13
4.63057e+0 1.18641e-13
4.70788e+0 1.05686e-13
4.80350e+0 9.70286e-14
4.90106e+0 8.86336e-14
5.00652e+0 7.81651e-14
5.11424e+0 7.17621e-14
5.25528e+0 6.65494e-14
5.41299e+0 6.45719e-14
5.53601e+0 6.07915e-14
5.66852e+0 5.60930e-14
5.83173e+0 5.14980e-14
6.00674e+0 4.65717e-14
6.20900e+0 4.31888e-14
6.38777e+0 3.92542e-14
6.58725e+0 3.54992e-14
6.77692e+0 3.29206e-14
7.00510e+0 3.09932e-14
7.24098e+0 2.93257e-14
7.47594e+0 2.58621e-14
7.73681e+0 2.36245e-14
7.94077e+0 2.05223e-14
8.16940e+0 1.78276e-14
8.38476e+0 1.62034e-14
8.65684e+0 1.41467e-14
9.08698e+0 1.22275e-14
9.54978e+0 1.05686e-14
9.91814e+0 9.50968e-15
1.03007e+1 8.59999e-15
1.06980e+1 7.93530e-15
1.12429e+1 7.21238e-15
1.19278e+1 6.42481e-15
1.27446e+1 5.81021e-15
1.32362e+1 4.84830e-15
1.37793e+1 4.02535e-15
1.44298e+1 3.29206e-15
1.52546e+1 2.69235e-15
1.58056e+1 2.14723e-15
1.62031e+1 1.87467e-15
1.65322e+1 1.69534e-15
1.69279e+1 1.60413e-15
1.72513e+1 1.57220e-15
1.75809e+1 1.60413e-15
1.78533e+1 1.69534e-15
1.81085e+1 1.77381e-15
1.83891e+1 1.89362e-15
1.86299e+1 2.03170e-15
1.88739e+1 2.24661e-15
1.92117e+1 2.69235e-15
1.96251e+1 3.13064e-15
2.00237e+1 3.69561e-15
2.03821e+1 4.36253e-15
2.11433e+1 5.14980e-15
2.18810e+1 5.95812e-15
2.26982e+1 7.24873e-15
2.34902e+1 8.73068e-15
2.43099e+1 1.03582e-14
2.56388e+1 1.16865e-14
2.66909e+1 1.32517e-14
2.75570e+1 1.48761e-14
2.82834e+1 1.54089e-14
2.90290e+1 1.54866e-14
2.97239e+1 1.58808e-14
