# eV       cm2
1.89062e+2 3.89809e-16
1.98951e+2 3.76322e-16
2.03323e+2 3.10372e-16
2.06607e+2 2.59095e-16
2.12286e+2 2.27380e-16
2.23565e+2 2.25592e-16
2.35443e+2 2.20823e-16
2.47952e+2 2.18035e-16
2.61126e+2 2.20610e-16
2.73385e+2 2.08585e-16
2.78780e+2 1.71725e-16
2.83256e+2 1.41762e-16
2.91041e+2 1.21955e-16
3.06504e+2 1.20578e-16
3.20016e+2 1.35016e-16
3.34123e+2 1.55643e-16
3.51875e+2 1.67102e-16
3.70571e+2 1.78371e-16
3.90259e+2 1.93877e-16
4.10993e+2 2.09356e-16
4.32830e+2 2.07630e-16
4.55826e+2 2.15531e-16
4.80044e+2 2.26114e-16
5.05549e+2 2.17783e-16
5.32409e+2 2.09436e-16
5.60696e+2 2.13590e-16
5.90485e+2 2.19890e-16
6.21858e+2 2.27074e-16
6.56232e+2 2.34130e-16
6.78896e+2 2.23113e-16
6.82019e+2 1.84515e-16
6.87081e+2 1.51969e-16
6.93784e+2 1.24484e-16
7.04730e+2 1.01797e-16
7.09884e+2 9.27693e-17
7.49989e+2 1.11899e-16
7.89836e+2 1.30984e-16
8.31800e+2 1.54330e-16
8.75993e+2 1.58852e-16
9.22535e+2 1.67811e-16
9.71549e+2 1.55643e-16
1.01210e+3 1.70043e-16
1.03022e+3 2.09961e-16
1.04483e+3 2.52630e-16
1.06323e+3 3.03595e-16
1.08616e+3 3.56762e-16
1.12642e+3 4.30437e-16
1.17607e+3 5.04383e-16
1.22792e+3 5.81642e-16
1.29316e+3 6.09168e-16
1.36186e+3 6.41175e-16
1.43422e+3 6.75904e-16
1.51042e+3 7.22876e-16
1.59067e+3 7.42909e-16
1.67518e+3 7.91942e-16
1.76418e+3 8.78701e-16
1.85791e+3 9.94108e-16
1.95662e+3 1.15295e-15
2.06058e+3 1.34337e-15
2.17006e+3 1.57581e-15
2.28535e+3 1.71908e-15
2.40677e+3 1.67788e-15
2.53465e+3 1.89168e-15
2.66931e+3 2.19029e-15
2.79893e+3 2.56374e-15
2.90230e+3 3.01689e-15
2.98983e+3 3.65920e-15
3.12548e+3 4.09603e-15
3.29153e+3 3.83947e-15
3.46641e+3 4.38575e-15
3.64160e+3 4.93829e-15
3.79744e+3 5.89769e-15
3.93563e+3 6.99438e-15
4.06881e+3 8.28823e-15
4.21584e+3 9.90838e-15
4.35599e+3 1.17268e-14
4.47519e+3 1.38280e-14
4.57922e+3 1.62765e-14
4.74071e+3 1.78907e-14
4.95633e+3 1.72115e-14
5.08079e+3 2.09691e-14
5.22553e+3 2.44229e-14
5.45589e+3 3.64245e-14
