# MeV      DM-e
1.98911e+1 1.86075e-36
2.03575e+1 1.12752e-36
2.13235e+1 7.04951e-37
2.23354e+1 4.40750e-37
2.35767e+1 2.93374e-37
2.52746e+1 1.72290e-37
2.68862e+1 9.50394e-38
2.81621e+1 6.52726e-38
2.92714e+1 4.34471e-38
3.08982e+1 2.80280e-38
3.33803e+1 1.64600e-38
3.60618e+1 1.02912e-38
3.83612e+1 6.63890e-39
4.20883e+1 3.54929e-39
4.47720e+1 2.15069e-39
4.85559e+1 1.38743e-39
5.30679e+1 9.23505e-40
6.00514e+1 6.34258e-40
6.90122e+1 3.99668e-40
8.17997e+1 2.72350e-40
9.43696e+1 2.12005e-40
1.09716e+2 1.65030e-40
1.30045e+2 1.36766e-40
1.47158e+2 1.24504e-40
1.69117e+2 1.16947e-40
1.97379e+2 1.15130e-40
2.41296e+2 1.16035e-40
3.04244e+2 1.20666e-40
3.60618e+2 1.27463e-40
4.78113e+2 1.45604e-40
5.91306e+2 1.66327e-40
7.11785e+2 1.92998e-40
9.54697e+2 2.40290e-40
