# eV      epsilon
11.602600 3.037870e-14
11.738400 2.309990e-14
11.979900 1.494690e-14
12.262100 9.209750e-15
12.514400 6.227390e-15
13.072600 3.818380e-15
13.977400 2.684920e-15
15.475900 2.041610e-15
17.335500 1.833320e-15
19.588900 1.915830e-15
21.942800 2.262470e-15
23.736200 2.792070e-15
25.750900 3.445640e-15
28.099700 4.465360e-15
30.307900 5.430340e-15
32.880500 7.003080e-15
38.362900 1.098300e-14
40.074300 7.426430e-15
40.780100 5.430340e-15
42.229100 3.837110e-15
52.222500 4.852530e-15
56.326500 2.434710e-15
60.400500 2.102420e-15
64.393300 1.552440e-15
67.461900 1.091610e-15
73.829800 5.779780e-16
81.507100 4.226280e-16
95.374500 3.105480e-16
110.954000 3.261160e-16
124.287000 4.438140e-16
134.444000 6.189440e-16
149.291000 9.518900e-16
160.089000 1.257970e-15
173.677000 2.002050e-15
199.709000 2.002050e-15
219.836000 3.155240e-15
246.970000 2.364290e-15
272.652000 2.569290e-15
301.004000 3.530950e-15
325.605000 4.924270e-15
345.115000 6.603860e-15
370.076000 7.875380e-15
396.843000 1.388950e-14
